file,tick,week,offset,implied_vol,realized_vol,gap,underlying_price,strike,time_to_exp
order_book_data_20260202_005159.csv,2,1,1,0.24140097763661056,0.11,0.13140097763661057,50.56,51,0.08305555555555556
order_book_data_20260202_005159.csv,6,1,5,0.2553100568052696,0.11,0.1453100568052696,50.58,51,0.08194444444444444
order_book_data_20260202_005159.csv,11,1,10,0.2918132008472519,0.11,0.1818132008472519,50.28,50,0.08055555555555555
order_book_data_20260202_005159.csv,21,1,20,0.30811765748526077,0.11,0.19811765748526078,48.6,49,0.07777777777777778
order_book_data_20260202_005159.csv,38,1,37,0.3215740461417449,0.11,0.2115740461417449,48.22,48,0.07305555555555555
order_book_data_20260202_005159.csv,51,1,50,0.36342086203038027,0.11,0.2534208620303803,50.02,50,0.06944444444444445
order_book_data_20260202_005159.csv,71,1,70,0.38514034125880797,0.11,0.275140341258808,48.78,49,0.06388888888888888
order_book_data_20260202_005159.csv,77,2,1,0.41653373866165744,0.38,0.03653373866165743,48.43,48,0.06222222222222222
order_book_data_20260202_005159.csv,81,2,5,0.38278952970332875,0.38,0.0027895297033287414,48.52,49,0.061111111111111116
order_book_data_20260202_005159.csv,86,2,10,0.21142533747738984,0.38,-0.16857466252261016,48.21,48,0.05972222222222222
order_book_data_20260202_005159.csv,96,2,20,0.12473538385904365,0.38,-0.25526461614095636,48.17,48,0.05694444444444445
order_book_data_20260202_005159.csv,113,2,37,0.12456579767587853,0.38,-0.2554342023241215,47.66,48,0.05222222222222222
order_book_data_20260202_005159.csv,126,2,50,0.11475180086685177,0.38,-0.26524819913314823,47.63,48,0.04861111111111111
order_book_data_20260202_005159.csv,146,2,70,0.1057449269314348,0.38,-0.2742550730685652,47.76,48,0.043055555555555555
order_book_data_20260202_005159.csv,152,3,1,0.2065430180841436,0.36,-0.15345698191585638,47.72,48,0.04138888888888889
order_book_data_20260202_005159.csv,156,3,5,0.3030795913914217,0.36,-0.05692040860857828,46.86,47,0.04027777777777777
order_book_data_20260202_005159.csv,161,3,10,0.370632637046931,0.36,0.010632637046931015,46.76,47,0.03888888888888889
order_book_data_20260202_005159.csv,171,3,20,0.4321219408875711,0.36,0.07212194088757112,47.04,47,0.03611111111111111
