news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_IESE-1,SELL_IESE-1,SELL_LUIS-1,SELL_LUIS-3,BUY_LUIS-1,BUY_LUIS-3,SELL_CALG-1,BUY_CALG-1,BUY_UEBR-1,SELL_LUIS-2,BUY_LUIS-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,1,2026-02-01 11:28:47.006906,SPNG,24.87,24.93,25.25,2137200.0,2152300.0,,,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 11:28:47.006906,SMMR,24.96,24.97,25.0,2215800.0,2314100.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-01 11:28:47.006906,ATMN,24.73,24.94,25.09,2117400.0,1893200.0,,,0,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-01 11:28:47.006906,WNTR,24.96,24.99,25.0,2065000.0,2033400.0,,,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,2,2026-02-01 11:28:48.049403,SPNG,24.87,24.87,25.25,2033100.0,2148900.0,,,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 11:28:48.049403,SMMR,25.0,24.97,25.0,2121800.0,2201800.0,2000.0,2000.0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:28:48.049403,ATMN,24.73,25.05,25.09,1985200.0,1981900.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-01 11:28:48.049403,WNTR,25.08,25.03,25.08,1864000.0,1940200.0,2000.0,,0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,3,2026-02-01 11:28:49.067017,SPNG,24.87,24.96,25.24,2058400.0,2500.0,2500.0,2074000.0,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 11:28:49.067017,SMMR,24.9,24.85,24.9,2259300.0,,,2056900.0,3000.0,,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:28:49.067017,ATMN,25.05,25.05,25.09,1903100.0,,,1866400.0,2000.0,2000.0,0,0,0,0,0,0,0
,,,,,,3,2026-02-01 11:28:49.067017,WNTR,25.07,25.07,25.08,1968900.0,,,1940200.0,,1000.0,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,4,2026-02-01 11:28:50.087888,SPNG,24.36,24.36,25.23,1826200.0,5000.0,1961300.0,,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 11:28:50.087888,SMMR,24.99,24.99,25.0,2140300.0,,2076000.0,2500.0,1000.0,3000.0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:28:50.087888,ATMN,25.15,25.07,25.09,1693500.0,,2010700.0,,4000.0,1000.0,0,0,0,0,0,0,0
,,,,,,4,2026-02-01 11:28:50.087888,WNTR,25.07,24.97,25.06,1868900.0,2500.0,1907900.0,2500.0,1000.0,,0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,5,2026-02-01 11:28:51.121762,SPNG,24.36,24.84,25.23,2041200.0,5000.0,1962500.0,,,,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 11:28:51.121762,SMMR,24.99,24.99,25.0,2022100.0,,2031600.0,2000.0,2500.0,3000.0,0,0,0,0,0,0,0
,,,,,,5,2026-02-01 11:28:51.121762,ATMN,25.09,25.1,25.11,2082400.0,,2010700.0,,,1000.0,0,0,0,0,0,0,0
