news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_COLB-2,BUY_COLB-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,1,2026-02-02 00:19:58.466248,SPNG,24.76,24.76,25.16,2118100.0,2391900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-02 00:19:58.466248,SMMR,25.11,24.92,25.11,2340000.0,1841300.0,0,0
,,,,,,1,2026-02-02 00:19:58.466248,ATMN,25.06,24.97,25.06,2206400.0,2053200.0,0,0
,,,,,,1,2026-02-02 00:19:58.466248,WNTR,24.98,24.98,25.16,2074700.0,1989000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,2,2026-02-02 00:19:59.488756,SPNG,25.33,24.86,25.01,2243700.0,2405900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-02 00:19:59.488756,SMMR,24.89,24.89,24.98,2330200.0,1953000.0,0,0
,,,,,,2,2026-02-02 00:19:59.488756,ATMN,24.84,24.68,24.72,2248900.0,2062400.0,0,0
,,,,,,2,2026-02-02 00:19:59.488756,WNTR,25.16,24.98,25.06,2074700.0,2123200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,3,2026-02-02 00:20:00.511674,SPNG,25.33,24.86,25.01,2252300.0,2537900.0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-02 00:20:00.511674,SMMR,24.96,24.89,24.92,2326900.0,2223800.0,0,0
,,,,,,3,2026-02-02 00:20:00.511674,ATMN,25.33,24.68,25.33,2263800.0,1925800.0,0,0
,,,,,,3,2026-02-02 00:20:00.511674,WNTR,24.9,24.9,25.06,2101900.0,2123200.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 10000 shares for this week.,4,2026-02-02 00:20:01.533065,SPNG,25.03,24.82,25.03,2209200.0,2544800.0,0,0
