news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,SELL_LUIS-3,BUY_LUIS-3,SELL_CALG-1,BUY_CALG-1,SELL_LUIS-2,BUY_LUIS-2
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,12,2026-02-01 10:09:43.669830,SPNG,24.92,24.92,25.02,2209000.0,1863500.0,5000.0,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,12,2026-02-01 10:09:43.669830,SMMR,25.13,24.74,25.1,2018700.0,1814800.0,7500.0,,0,0,0,0,0,0
,,,,,,12,2026-02-01 10:09:43.669830,ATMN,24.87,24.87,24.94,2268500.0,2107800.0,2500.0,,0,0,0,0,0,0
,,,,,,12,2026-02-01 10:09:43.669830,WNTR,25.0,25.0,25.07,2115200.0,2306100.0,,2500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,13,2026-02-01 10:09:44.894996,SPNG,24.7,24.79,25.23,2500.0,2080500.0,2002900.0,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,13,2026-02-01 10:09:44.894996,SMMR,25.16,25.01,25.16,2500.0,2010200.0,2139900.0,,0,0,0,0,0,0
,,,,,,13,2026-02-01 10:09:44.894996,ATMN,25.05,24.82,25.05,2500.0,2166300.0,2097800.0,2500.0,0,0,0,0,0,0
,,,,,,13,2026-02-01 10:09:44.894996,WNTR,25.13,25.13,25.14,2500.0,2136600.0,2306100.0,,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,14,2026-02-01 10:09:45.955049,SPNG,24.88,24.79,24.88,2500.0,2083700.0,1999400.0,2500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,14,2026-02-01 10:09:45.955049,SMMR,25.16,25.07,25.15,2500.0,1983200.0,2026400.0,2500.0,0,0,0,0,0,0
,,,,,,14,2026-02-01 10:09:45.955049,ATMN,24.84,24.98,25.05,,2180200.0,2120400.0,2500.0,0,0,0,0,0,0
,,,,,,14,2026-02-01 10:09:45.955049,WNTR,25.2,25.13,25.2,2500.0,2136600.0,2229600.0,,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,15,2026-02-01 10:09:46.991173,SPNG,24.88,24.8,24.87,5000.0,2005300.0,5000.0,1885000.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,15,2026-02-01 10:09:46.991173,SMMR,25.01,25.01,25.15,2500.0,2019200.0,2500.0,2021000.0,0,0,0,0,0,0
,,,,,,15,2026-02-01 10:09:46.991173,ATMN,24.84,24.99,25.04,2500.0,2180200.0,5000.0,2025300.0,0,0,0,0,0,0
,,,,,,15,2026-02-01 10:09:46.991173,WNTR,24.98,25.0,25.19,5000.0,2010400.0,2500.0,2135200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,16,2026-02-01 10:09:48.019045,SPNG,25.23,24.96,25.07,1986200.0,5000.0,2092800.0,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,16,2026-02-01 10:09:48.019045,SMMR,25.0,25.0,25.14,2033000.0,2500.0,1897800.0,5000.0,0,0,0,0,0,0
,,,,,,16,2026-02-01 10:09:48.019045,ATMN,24.98,24.79,24.92,2064900.0,,2034500.0,5000.0,0,0,0,0,0,0
,,,,,,16,2026-02-01 10:09:48.019045,WNTR,24.98,25.04,25.19,2150700.0,2500.0,2135200.0,2500.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,17,2026-02-01 10:09:49.064786,SPNG,24.73,24.97,25.06,2500.0,2097000.0,2500.0,1975500.0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,17,2026-02-01 10:09:49.064786,SMMR,24.92,25.01,25.13,2500.0,2007400.0,7500.0,1785700.0,0,0,0,0,0,0
,,,,,,17,2026-02-01 10:09:49.064786,ATMN,24.66,24.66,25.03,,1957800.0,7500.0,1939400.0,0,0,0,0,0,0
,,,,,,17,2026-02-01 10:09:49.064786,WNTR,24.98,25.06,25.18,5000.0,2061600.0,5000.0,2056200.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,18,2026-02-01 10:09:50.138019,SPNG,24.87,24.7,24.87,2192100.0,1984600.0,2500.0,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,18,2026-02-01 10:09:50.138019,SMMR,25.19,24.99,25.19,2127300.0,2105100.0,,,0,0,0,0,0,0
,,,,,,18,2026-02-01 10:09:50.138019,ATMN,24.66,24.66,25.03,1842700.0,1939400.0,7500.0,,0,0,0,0,0,0
,,,,,,18,2026-02-01 10:09:50.138019,WNTR,25.09,25.06,25.09,2061600.0,2088000.0,5000.0,5000.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 12000 shares for this week.,19,2026-02-01 10:09:51.301510,SPNG,24.87,24.71,24.86,2500.0,2073200.0,5000.0,1895700.0,0,0,0,0,0,0
